Data;id_producto;País;PBI;id;id2;Variante Shopify;Dashboard PBI;Tipo Link
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;9;Región de La Araucanía;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:9, url:""https://app.powerbi.com/view?r=eyJrIjoiNWEwN2Q3OGMtMDMyYi00YTk5LWIwOTgtM2Q3NjBkMDI4OWYwIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de La Araucanía""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;10;Región de Los Lagos;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:10, url:""https://app.powerbi.com/view?r=eyJrIjoiNzI4M2ViZmYtYjNjMS00NDZmLTg3YjAtMzdmNTA2MDY2YWE4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Los Lagos""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;11;Región de Aysén;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:11, url:""https://app.powerbi.com/view?r=eyJrIjoiYWMzNTAzMjYtZWYwZC00ZGJmLWFmYWUtNzYzMzU1Nzk2NTk0IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Aysén""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;12;Región de Magallanes;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:12, url:""https://app.powerbi.com/view?r=eyJrIjoiYTgxYTgwMTYtYjAxYS00NThlLThmYTYtMDQzZmZkOWQ4YzQyIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Magallanes""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;13;Región Metropolitana;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:13, url:""https://app.powerbi.com/view?r=eyJrIjoiYTE0NzdmNGYtZGMzZS00NThjLWJkOTMtZDgyMDUwZDk5Mjg2IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región Metropolitana""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;14;Región de Los Ríos;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:14, url:""https://app.powerbi.com/view?r=eyJrIjoiM2IxZjUwMWEtNjc4Mi00ZWY5LTk4YWQtOTk0MWExYzkyNWY5IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Los Ríos""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;15;Región de Arica y Parinacota;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:15, url:""https://app.powerbi.com/view?r=eyJrIjoiYTQwYTk5NzYtNWNjNy00YjA5LTllNGItZTM0ZThiMTYzMjBlIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Arica y Parinacota""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;16;Región del Ñuble;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:16, url:""https://app.powerbi.com/view?r=eyJrIjoiOWIzMzhhMDYtN2NmZi00ZGUyLWFlMTEtZTI2OTE3YjAxMWE4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región del Ñuble""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;1101;Comuna: Iquique, Tarapacá;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:1101, url:""https://app.powerbi.com/view?r=eyJrIjoiODdkYTQzMzYtNDJjMC00ZjgxLWJkYTQtM2JhZWI3NWQ5OTdlIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Iquique, Tarapacá""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;1107;Comuna: Alto Hospicio, Tarapacá;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:1107, url:""https://app.powerbi.com/view?r=eyJrIjoiMmNkY2U0MTQtNzM0ZC00MDVlLWI0MWItMjRlMzBhMzJlZWUxIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Alto Hospicio, Tarapacá""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;1401;Comuna: Pozo Almonte, Tarapacá;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:1401, url:""https://app.powerbi.com/view?r=eyJrIjoiYWM2MjM4YjktNjQyZC00MDc5LWI5OTQtZmEwMDc2ZmNmMDllIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Pozo Almonte, Tarapacá""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;1402;Comuna: Camiña, Tarapacá;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:1402, url:""https://app.powerbi.com/view?r=eyJrIjoiNjMwNzU3OTEtNTI5NC00N2NjLWFjMWItNzk3NDYyZGY5N2E3IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Camiña, Tarapacá""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;1403;Comuna: Colchane, Tarapacá;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:1403, url:""https://app.powerbi.com/view?r=eyJrIjoiMmNhZTk5MTctMTRlZi00NzhlLWI3YTEtNTAxZDNhODJhMTMzIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Colchane, Tarapacá""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;1404;Comuna: Huara, Tarapacá;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:1404, url:""https://app.powerbi.com/view?r=eyJrIjoiZjBmNjhkNGEtMjg4NS00YjFkLThiYmQtZTk0YWM0MjY5NmYxIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Huara, Tarapacá""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;1405;Comuna: Pica, Tarapacá;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:1405, url:""https://app.powerbi.com/view?r=eyJrIjoiM2FlNjU0YTEtOGNjMS00NTJjLWFhODMtMGY5YTJmM2MwMGY3IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Pica, Tarapacá""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2101;Comuna: Antofagasta, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2101, url:""https://app.powerbi.com/view?r=eyJrIjoiZDY3OGZkMWEtYTFjNC00NzU3LWE0MWItMDdlY2Y5NGFjMjBmIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Antofagasta, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2102;Comuna: Mejillones, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2102, url:""https://app.powerbi.com/view?r=eyJrIjoiODliMjA4MzgtNzkyMS00NzNiLTk3NDAtMjIyMDA3NDM0ZGE3IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Mejillones, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2103;Comuna: Sierra Gorda, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2103, url:""https://app.powerbi.com/view?r=eyJrIjoiMDhhMTRmMmYtY2Q4OS00YzY5LTg2ZjMtMDBjMWEwNGM4MDg4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Sierra Gorda, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2104;Comuna: Taltal, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2104, url:""https://app.powerbi.com/view?r=eyJrIjoiOWRmM2I1NWMtNDg0Zi00Y2VmLWJhMDMtYTIzZGI5YjkwZjYxIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Taltal, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2201;Comuna: Calama, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2201, url:""https://app.powerbi.com/view?r=eyJrIjoiYjAwYzk4NjQtNjlkNC00OWQ3LWI1MjctZDQ3ZDczZjU3ZGQwIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Calama, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2202;Comuna: Ollagüe, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2202, url:""https://app.powerbi.com/view?r=eyJrIjoiZjE5NDBkY2EtMDM1Ny00MzVjLTlkM2YtNjlmMGFlYTM1YjhmIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Ollagüe, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2203;Comuna: San Pedro de Atacama, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2203, url:""https://app.powerbi.com/view?r=eyJrIjoiMDgxYzRiMDItODlmYy00ZTBkLWEzMzctOTM5N2FjYjVkYWU4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: San Pedro de Atacama, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2301;Comuna: Tocopilla, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2301, url:""https://app.powerbi.com/view?r=eyJrIjoiMWNkNTRmMTQtNWIxYS00Mzg4LWFlODItMjBiZGJkNjE1OWJjIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Tocopilla, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;2302;Comuna: María Elena, Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:2302, url:""https://app.powerbi.com/view?r=eyJrIjoiNTQ4ZjQzYzItOTQ3Mi00N2NjLTkxMDYtYmQyYzllODg5OTg4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: María Elena, Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3101;Comuna: Copiapó, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3101, url:""https://app.powerbi.com/view?r=eyJrIjoiNjUzNmNlZjgtNDA4ZC00OTE1LThmMWQtM2NjYTA1NjlmZmFkIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Copiapó, Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3102;Comuna: Caldera, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3102, url:""https://app.powerbi.com/view?r=eyJrIjoiZjBkNGRiNjgtZTc1YS00NDY3LWFlNjgtODkxNWMzZGM4YWZiIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Caldera, Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3103;Comuna: Tierra Amarilla, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3103, url:""https://app.powerbi.com/view?r=eyJrIjoiNmM5OGNkMWMtNGRiZS00MzU3LTk0YWUtNzYyYmJmNTFjYWI1IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Tierra Amarilla, Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3201;Comuna: Chañaral, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3201, url:""https://app.powerbi.com/view?r=eyJrIjoiN2E1MDU3NWItYmZkYy00NmViLWE3NmEtNmJmOTNhMTE3MWUxIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Chañaral, Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3202;Comuna: Diego de Almagro, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3202, url:""https://app.powerbi.com/view?r=eyJrIjoiYTQzODFlNTgtNWMyNy00ZTJhLTliNDEtMDBkZjVjYjFhODYyIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Diego de Almagro, Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3301;Comuna: Vallenar, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3301, url:""https://app.powerbi.com/view?r=eyJrIjoiZjcwMjZjNDUtYTBmYS00OGQyLWEwYjgtNDc3YjQ0MzU0NzQ4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Vallenar, Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3302;Comuna: Alto del Carmen, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3302, url:""https://app.powerbi.com/view?r=eyJrIjoiOTcyN2JhYjItNzRhMC00MTI0LTkxYTgtZDY2MjdiZjNmNGNhIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Alto del Carmen, Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3303;Comuna: Freirina, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3303, url:""https://app.powerbi.com/view?r=eyJrIjoiYmYwMzE5MjYtOTZlYi00NjJkLWE2YjctZGRhMmM3MGNhNTZiIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Freirina, Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;4;3304;Comuna: Huasco, Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:4, id2:3304, url:""https://app.powerbi.com/view?r=eyJrIjoiNTkzMTIxMTEtNzUxMy00NzgzLThhOTItNzU5Yjg3MWM0YTQ3IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Comuna || Variante Shopify: Comuna: Huasco, Atacama""));";PBI
