Data;id_producto;País;PBI;id;id2;Variante Shopify;Dashboard PBI;Tipo Link
DATATERRITORIO;0011-01-00012;Chile;SI;1;0;Nacional;"dashboards.Add(new PowerBiDash(titulo:""Instrumentos de Planificación Territorial (IPT) - Chile"", id:1, id2:0, url:""https://app.powerbi.com/view?r=eyJrIjoiN2RiNDAxYWQtZjIyZi00ZmQ5LWE0M2UtOTBkMGQ3NWEyNGM5IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9&pageName=ReportSectiond3ed353228b160739c25"", comentario:""DATA: DATATERRITORIO || País: Chile || Variante: NO || Tipo Variante: Nacional || Variante Shopify: Nacional""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;2;0;Nacional;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:2, id2:0, url:""https://app.powerbi.com/view?r=eyJrIjoiNjNjNWY5ZjgtYmZiMS00MzI2LWIwNTktY2IzZTljYjEwYzNlIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9&pageName=ReportSection"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: NO || Tipo Variante: Nacional || Variante Shopify: Nacional""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;1;Región de Tarapacá;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:1, url:""https://app.powerbi.com/view?r=eyJrIjoiN2NjZjVkMTgtOWFmOC00MzJkLWIxZDktMjIxMjI2ZDcxZGVkIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Tarapacá""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;2;Región de Antofagasta;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:2, url:""https://app.powerbi.com/view?r=eyJrIjoiYWYxOTA3MzMtNTVjNS00MjM4LWE2MjAtYjBlY2FjOGFmYjI3IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Antofagasta""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;3;Región de Atacama;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:3, url:""https://app.powerbi.com/view?r=eyJrIjoiZDFjY2I5OTQtODI0ZS00NjQ0LTg4YTYtZjg0MjY2MWJhOGQwIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Atacama""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;4;Región de Coquimbo;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:4, url:""https://app.powerbi.com/view?r=eyJrIjoiYWEzOWYzNzItNTZmMC00ZmY4LTg4MzYtNTQ5ZGRjZWI5NDk4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Coquimbo""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;5;Región de Valparaíso;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:5, url:""https://app.powerbi.com/view?r=eyJrIjoiOGNlMTg2YjMtM2QxOC00M2Y4LWJlYzYtZjhmMzkxNDgxNjRmIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Valparaíso""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;6;Región de O'Higgins;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:6, url:""https://app.powerbi.com/view?r=eyJrIjoiNWNlYmY5Y2ItNWJlNy00MTBmLWI3ZWMtMWExMGE2ZGM3OWY4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de O'Higgins""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;7;Región del Maule;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:7, url:""https://app.powerbi.com/view?r=eyJrIjoiZjY3NjYwNDEtZDU1Ni00ZjQyLTkyZDItMWFmYjVjY2YzNGM2IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región del Maule""));";PBI
DATAEDUCACIÓN;0010-01-00014;Chile;SI;3;8;Región del Biobío;"dashboards.Add(new PowerBiDash(titulo:""Ranking Comunal de Establecimientos Educacionales - Chile"", id:3, id2:8, url:""https://app.powerbi.com/view?r=eyJrIjoiZGM4NjE5OTctNGNiNy00NmYzLTk2MjEtNmMyNjE0MTAzZGI0IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9"", comentario:""DATA: DATAEDUCACIÓN || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región del Biobío""));";PBI
